warn: LLAMA_ARG_HOST environment variable is set, but will be overwritten by command line argument --host
0.00.230.659 W DEPRECATED: --mlock is deprecated. use --load-mode mlock instead
0.00.230.904 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.436.253 I srv    load_model: loading model '/models/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.04.649.097 I cmn          init: llama threadpool init, n_threads = 12
0.04.755.304 I common_speculative_init_result: creating MTP draft context against the target model '/models/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.05.141.440 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 262144, kv_unified = 'false'
0.05.411.120 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.05.411.178 I srv  llama_server: model loaded
0.05.411.182 I srv  llama_server: listening on http://0.0.0.0:8000
22.03.228.068 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
22.03.229.119 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
22.06.582.422 I slot print_timing: id  0 | task 0 | prompt eval time =    2713.77 ms /  6111 tokens (    0.44 ms per token,  2251.85 tokens per second)
22.06.582.445 I slot print_timing: id  0 | task 0 |        eval time =     639.03 ms /    46 tokens (   14.20 ms per token,    70.42 tokens per second)
22.06.582.445 I slot print_timing: id  0 | task 0 |       total time =    3352.81 ms /  6157 tokens
22.06.582.451 I slot print_timing: id  0 | task 0 |    graphs reused =         12
22.06.582.454 I slot print_timing: id  0 | task 0 | draft acceptance = 1.00000 (   29 accepted /    29 generated), mean len =  2.81
22.06.582.798 I slot      release: id  0 | task 0 | stop processing: n_tokens = 6158, truncated = 0
22.06.786.783 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.994 (> 0.100 thold), f_keep = 1.000
22.06.787.362 I slot launch_slot_: id  0 | task 25 | processing task, is_child = 0
22.07.337.674 I slot print_timing: id  0 | task 25 | prompt eval time =     322.06 ms /    35 tokens (    9.20 ms per token,   108.68 tokens per second)
22.07.337.695 I slot print_timing: id  0 | task 25 |        eval time =     227.93 ms /    31 tokens (    7.60 ms per token,   131.62 tokens per second)
22.07.337.696 I slot print_timing: id  0 | task 25 |       total time =     549.99 ms /    66 tokens
22.07.337.697 I slot print_timing: id  0 | task 25 |    graphs reused =         21
22.07.337.699 I slot print_timing: id  0 | task 25 | draft acceptance = 1.00000 (   20 accepted /    20 generated), mean len =  3.00
22.07.337.960 I slot      release: id  0 | task 25 | stop processing: n_tokens = 6223, truncated = 0
25.50.580.027 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.874 (> 0.100 thold), f_keep = 0.973
25.50.581.100 I slot launch_slot_: id  0 | task 38 | processing task, is_child = 0
25.06.374.570 I slot print_timing: id  0 | task 38 | prompt eval time =    1229.15 ms /  1334 tokens (    0.92 ms per token,  1085.30 tokens per second)
25.06.374.592 I slot print_timing: id  0 | task 38 |        eval time =    1691.41 ms /   184 tokens (    9.24 ms per token,   108.19 tokens per second)
25.06.374.592 I slot print_timing: id  0 | task 38 |       total time =    2920.56 ms /  1518 tokens
25.06.374.593 I slot print_timing: id  0 | task 38 |    graphs reused =         76
25.06.374.596 I slot print_timing: id  0 | task 38 | draft acceptance = 0.97436 (  114 accepted /   117 generated), mean len =  2.87
25.06.374.941 I slot      release: id  0 | task 38 | stop processing: n_tokens = 7112, truncated = 0
25.06.499.995 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.511 (> 0.100 thold), f_keep = 0.974
25.06.500.745 I slot launch_slot_: id  0 | task 112 | processing task, is_child = 0
25.11.340.885 I slot print_timing: id  0 | task 112 | prompt eval time =    2617.81 ms /  6634 tokens (    0.39 ms per token,  2534.18 tokens per second)
25.11.340.908 I slot print_timing: id  0 | task 112 |        eval time =    2223.28 ms /   268 tokens (    8.33 ms per token,   120.09 tokens per second)
25.11.340.909 I slot print_timing: id  0 | task 112 |       total time =    4841.08 ms /  6902 tokens
25.11.340.910 I slot print_timing: id  0 | task 112 |    graphs reused =        158
25.11.340.913 I slot print_timing: id  0 | task 112 | draft acceptance = 0.98857 (  173 accepted /   175 generated), mean len =  2.97
25.11.341.437 I slot      release: id  0 | task 112 | stop processing: n_tokens = 13826, truncated = 0
25.11.488.615 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.295 (> 0.100 thold), f_keep = 0.438
25.12.396.479 I slot launch_slot_: id  0 | task 212 | processing task, is_child = 0
25.15.626.891 I slot print_timing: id  0 | task 212 | prompt processing, n_tokens =   9434, progress = 0.73, t =   3.13 s / 3016.72 tokens per second
25.16.317.332 I slot print_timing: id  0 | task 212 | prompt processing, n_tokens =  11482, progress = 0.83, t =   3.82 s / 3009.25 tokens per second
25.17.019.961 I slot print_timing: id  0 | task 212 | prompt processing, n_tokens =  13530, progress = 0.93, t =   4.51 s / 2997.10 tokens per second
25.17.326.308 I slot print_timing: id  0 | task 212 | prompt processing, n_tokens =  14378, progress = 0.97, t =   4.86 s / 2956.43 tokens per second
25.17.762.883 I slot print_timing: id  0 | task 212 | prompt processing, n_tokens =  14890, progress = 1.00, t =   5.29 s / 2816.73 tokens per second
25.21.000.883 I slot print_timing: id  0 | task 212 | n_gen =    368, tg = 122.27 t/s, tg_3s = 122.60 t/s
25.21.960.057 I slot print_timing: id  0 | task 212 | prompt eval time =    5595.67 ms / 14894 tokens (    0.38 ms per token,  2661.70 tokens per second)
25.21.960.082 I slot print_timing: id  0 | task 212 |        eval time =    3960.55 ms /   479 tokens (    8.29 ms per token,   120.69 tokens per second)
25.21.960.083 I slot print_timing: id  0 | task 212 |       total time =    9556.22 ms / 15373 tokens
25.21.960.084 I slot print_timing: id  0 | task 212 |    graphs reused =        305
25.21.960.087 I slot print_timing: id  0 | task 212 | draft acceptance = 0.99685 (  316 accepted /   317 generated), mean len =  2.96
25.21.960.773 I slot      release: id  0 | task 212 | stop processing: n_tokens = 20969, truncated = 0
25.22.129.056 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.507 (> 0.100 thold), f_keep = 0.619
25.22.129.810 I slot launch_slot_: id  0 | task 387 | processing task, is_child = 0
25.25.541.219 I slot print_timing: id  0 | task 387 | prompt processing, n_tokens =   9218, progress = 0.87, t =   3.31 s / 2788.57 tokens per second
25.26.276.032 I slot print_timing: id  0 | task 387 | prompt processing, n_tokens =  11266, progress = 0.95, t =   4.04 s / 2790.41 tokens per second
25.26.594.901 I slot print_timing: id  0 | task 387 | prompt processing, n_tokens =  12114, progress = 0.98, t =   4.40 s / 2752.20 tokens per second
25.27.073.171 I slot print_timing: id  0 | task 387 | prompt processing, n_tokens =  12626, progress = 1.00, t =   4.86 s / 2595.85 tokens per second
25.30.438.680 I slot print_timing: id  0 | task 387 | n_gen =    368, tg = 121.07 t/s, tg_3s = 121.39 t/s
25.31.244.686 I slot print_timing: id  0 | task 387 | prompt eval time =    5277.22 ms / 12630 tokens (    0.42 ms per token,  2393.31 tokens per second)
25.31.244.706 I slot print_timing: id  0 | task 387 |        eval time =    3837.29 ms /   458 tokens (    8.40 ms per token,   119.09 tokens per second)
25.31.244.706 I slot print_timing: id  0 | task 387 |       total time =    9114.51 ms / 13088 tokens
25.31.244.707 I slot print_timing: id  0 | task 387 |    graphs reused =        447
25.31.244.709 I slot print_timing: id  0 | task 387 | draft acceptance = 0.99010 (  300 accepted /   303 generated), mean len =  2.96
25.31.245.470 I slot      release: id  0 | task 387 | stop processing: n_tokens = 26068, truncated = 0
25.31.391.944 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.625 (> 0.100 thold), f_keep = 0.694
25.31.392.649 I slot launch_slot_: id  0 | task 554 | processing task, is_child = 0
25.35.036.921 I slot print_timing: id  0 | task 554 | prompt processing, n_tokens =   9517, progress = 0.95, t =   3.53 s / 2693.66 tokens per second
25.35.365.836 I slot print_timing: id  0 | task 554 | prompt processing, n_tokens =  10365, progress = 0.98, t =   3.91 s / 2651.37 tokens per second
25.35.855.011 I slot print_timing: id  0 | task 554 | prompt processing, n_tokens =  10877, progress = 1.00, t =   4.38 s / 2482.23 tokens per second
25.38.352.765 I slot print_timing: id  0 | task 554 | prompt eval time =    4836.25 ms / 10881 tokens (    0.44 ms per token,  2249.88 tokens per second)
25.38.352.787 I slot print_timing: id  0 | task 554 |        eval time =    2123.22 ms /   207 tokens (   10.31 ms per token,    97.02 tokens per second)
25.38.352.788 I slot print_timing: id  0 | task 554 |       total time =    6959.47 ms / 11088 tokens
25.38.352.789 I slot print_timing: id  0 | task 554 |    graphs reused =        497
25.38.352.792 I slot print_timing: id  0 | task 554 | draft acceptance = 0.99242 (  131 accepted /   132 generated), mean len =  2.87
25.38.353.672 I slot      release: id  0 | task 554 | stop processing: n_tokens = 29191, truncated = 0
25.38.505.902 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.587 (> 0.100 thold), f_keep = 0.736
25.38.506.612 I slot launch_slot_: id  0 | task 639 | processing task, is_child = 0
25.42.357.145 I slot print_timing: id  0 | task 639 | prompt processing, n_tokens =   9654, progress = 0.85, t =   3.73 s / 2586.52 tokens per second
25.43.175.862 I slot print_timing: id  0 | task 639 | prompt processing, n_tokens =  11702, progress = 0.91, t =   4.55 s / 2573.10 tokens per second
25.44.019.954 I slot print_timing: id  0 | task 639 | prompt processing, n_tokens =  13750, progress = 0.96, t =   5.39 s / 2551.40 tokens per second
25.44.378.368 I slot print_timing: id  0 | task 639 | prompt processing, n_tokens =  14598, progress = 0.99, t =   5.80 s / 2515.53 tokens per second
25.44.969.814 I slot print_timing: id  0 | task 639 | prompt processing, n_tokens =  15110, progress = 1.00, t =   6.36 s / 2374.29 tokens per second
25.46.977.327 I slot print_timing: id  0 | task 639 | prompt eval time =    6894.15 ms / 15114 tokens (    0.46 ms per token,  2192.29 tokens per second)
25.46.977.348 I slot print_timing: id  0 | task 639 |        eval time =    1648.44 ms /   164 tokens (   10.11 ms per token,    98.88 tokens per second)
25.46.977.349 I slot print_timing: id  0 | task 639 |       total time =    8542.59 ms / 15278 tokens
25.46.977.350 I slot print_timing: id  0 | task 639 |    graphs reused =        545
